timestamp,open,high,low,close,volume
1572307200000,9222.23,9565.11,9099.36,9432.86,377872980.9
1572393600000,9432.86,9441.8,9018.3,9169.86,315824657.2199999
1572480000000,9169.86,9423.16,8972.0,9157.52,329788397.2
1572566400000,9157.52,9308.62,9072.62,9260.59,251360754.53
1572652800000,9260.59,9400.44,9223.46,9311.99,159847329.63000003
1572739200000,9311.99,9396.1,9108.22,9221.61,144662760.97000003
1572825600000,9221.61,9578.74,9141.0,9421.54,275923701.69
1572912000000,9421.54,9495.36,9196.64,9323.61,233491267.39999998
1572998400000,9323.61,9455.53,9269.82,9347.27,208985449.51
1573084800000,9347.27,9382.63,9114.14,9208.52,196879610.58999997
1573171200000,9208.52,9263.83,8682.74,8772.31,371135404.9700001
1573257600000,8772.31,8881.08,8732.62,8822.19,116025279.27000001
1573344000000,8822.19,9126.98,8767.94,9045.85,162649216.88
1573430400000,9045.85,9084.49,8619.78,8726.31,226035620.36999997
1573516800000,8726.31,8868.85,8576.09,8815.14,194901130.09000003
1573603200000,8815.14,8840.33,8721.68,8773.82,138900524.49
1573689600000,8773.82,8811.04,8584.92,8640.42,164630654.05000004
1573776000000,8640.42,8773.4,8393.29,8468.57,267441968.16
1573862400000,8468.57,8539.42,8442.03,8498.94,79597461.02
1573948800000,8498.94,8641.12,8411.3,8515.28,122271717.67999998
1574035200000,8515.28,8537.87,8075.63,8190.16,250358969.38
1574121600000,8190.16,8215.95,8016.54,8133.57,198180594.32
1574208000000,8133.57,8232.23,8047.73,8093.6,147086043.42999998
1574294400000,8093.6,8133.73,7437.33,7632.59,354377783.29999995
1574380800000,7632.59,7721.9,6815.03,7292.2,680349857.2000002
1574467200000,7292.2,7368.18,7119.41,7339.24,185099411.38000003
1574553600000,7339.24,7364.59,6888.89,6930.09,249710266.28000003
1574640000000,6930.09,7386.06,6560.13,7138.23,596056755.8300002
1574726400000,7138.23,7350.44,7042.5,7170.11,259675008.68
1574812800000,7170.11,7681.51,6873.1,7531.5,485895588.22999996
1574899200000,7531.5,7663.45,7388.79,7442.33,225350756.08999994
1574985600000,7442.33,7872.17,7425.49,7769.38,285280637.59999996
1575072000000,7769.38,7821.01,7487.1,7571.77,189533166.63
1575158400000,7571.77,7575.5,7261.95,7420.53,226245528.67000002
